Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Candidatus_Calescamantes_unclassified	0	0	0	0	1	0	0	0	0	0	0	0
Ktedonobacteria	0	0	0	0	0	0	1	0	0	0	0	0
Lentisphaerae_unclassified	0	0	0	0	0	0	0	0	1	0	0	0
Candidatus_Yanofskybacteria_unclassified	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus_Microgenomates_unclassified	0	0	0	0	0	0	0	0	0	0	0	1
Leotiomycetes	0	0	0	0	0	0	0	0	0	0	0	1
Archaeoglobi	0	0	0	0	0	0	0	0	0	0	0	1
Erysipelotrichia	0	0	0	0	0	0	0	0	0	0	0	1
Chlorobi_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus-Thermus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Opisthokonta_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonadetes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Pezizomycotina_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Dothideomyceta_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospinae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
DPANN_group_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria/Melainabacteria_group_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospinae/Tectomicrobia_group_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Tenericutes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Alveolata_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Aquificae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Thermodesulfobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Conoidasida_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Ustilaginomycotina_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Agaricomycotina_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomycotina_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_candidate_phyla_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiogenetes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Ignavibacteriae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0
Dictyoglomi_unclassified	0	0	0	0	0	0	0	0	0	0	0	0

