id 	label 	Domain	Phylum 	Class 	group 	shape  	value 
Rhodobacteraceae	Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	19	dot	0.47989156993806903
Desulfobacteraceae	Desulfobacteraceae	Bacteria	Proteobacteria	Deltaproteobacteria	19	dot	0.5387385031892556
Chromatiaceae	Chromatiaceae	Bacteria	Proteobacteria	Gammaproteobacteria	19	dot	0.06066681744306568
Thiotrichaceae	Thiotrichaceae	Bacteria	Proteobacteria	Gammaproteobacteria	19	dot	0.0003708775533493096
Nannocystaceae	Nannocystaceae	Bacteria	Proteobacteria	Deltaproteobacteria	19	dot	0.009723134461500544
Myxococcales unclassified	Myxococcales unclassified	Bacteria	Proteobacteria	Deltaproteobacteria	19	dot	0.021583184493272907
Sandaracinaceae	Sandaracinaceae	Bacteria	Proteobacteria	Deltaproteobacteria	19	dot	0.004502625152934946
Pasteurellaceae	Pasteurellaceae	Bacteria	Proteobacteria	Gammaproteobacteria	19	dot	0.000406650364575296
Desulfohalobiaceae	Desulfohalobiaceae	Bacteria	Proteobacteria	Deltaproteobacteria	19	dot	0.022985201221202716
Ferrimonadaceae	Ferrimonadaceae	Bacteria	Proteobacteria	Gammaproteobacteria	19	dot	0.00015136546911922853
Gallionellaceae	Gallionellaceae	Bacteria	Proteobacteria	Betaproteobacteria	19	dot	0.0001306301598913157
Synergistales unclassified	Synergistales unclassified	Bacteria	Synergistetes	Synergistia	20	dot	0.00033025324434633307
Thermotogaceae	Thermotogaceae	Bacteria	Thermotogae	Thermotogae	21	dot	0.000382077190451466
Kosmotogaceae	Kosmotogaceae	Bacteria	Thermotogae	Thermotogae	21	dot	0.002058370639628382
Unclassified Verrucomicrobia unclassified	Unclassified Verrucomicrobia unclassified	Bacteria	Verrucomicrobia		22	dot	0.004023408924652524
Verrucomicrobia unclassified	Verrucomicrobia unclassified	Bacteria	Verrucomicrobia		22	dot	0.014620974318213159
Verrucomicrobia subdivision 3	Verrucomicrobia subdivision 3	Bacteria	Verrucomicrobia	Verrucomicrobiae	22	dot	0.0008683128441572597
