	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Nevskiales	37	2	42	66	39	28	56	52	43	49	8	50
Unclassified Verrucomicrobia unclassified	68	0	0	71	0	0	0	154	0	0	0	172
Chloroflexales	2	2	12	38	45	12	64	47	132	32	21	56
Thermales	17	1	20	40	35	32	42	58	48	39	46	75
Methanosarcinales	7	231	7	1	11	2	3	131	2	3	36	5
Cyanobacteria unclassified	34	8	47	59	27	12	44	31	104	34	13	11
Solirubrobacterales	14	1	17	50	34	27	42	50	52	38	25	57
Deinococcales	21	5	20	42	25	17	46	66	37	32	21	60
Oscillatoriophycideae unclassified	40	4	42	72	29	9	33	26	66	30	14	15
Chloroflexi unclassified	26	0	17	21	28	34	26	48	30	33	44	47
Parcubacteria group unclassified	19	19	28	13	34	23	27	39	28	37	51	31
Clostridia unclassified	17	12	18	10	14	25	20	34	29	14	32	49
Pseudonocardiales	21	2	14	29	19	18	33	24	28	15	25	40
Holophagales	12	0	18	13	21	18	11	35	20	23	30	40
Bacteria candidate phyla unclassified	9	8	8	6	15	39	13	19	21	8	40	42
Acidimicrobiales	1	0	2	37	28	21	9	21	28	44	1	32
Frankiales	15	2	17	29	11	7	17	21	21	37	17	21
Lactobacillales	10	18	22	16	17	13	18	25	23	20	14	18
Nitrosomonadales	31	0	1	43	2	0	34	0	0	95	0	0
Anaerolineae unclassified	4	0	2	1	2	13	15	14	24	12	59	60
Actinomycetales	11	4	15	14	17	19	16	28	18	20	18	20
Acidithiobacillales	14	7	16	29	19	9	23	24	11	14	15	15
Synergistales	3	2	8	0	4	31	15	36	22	11	28	28
Parvularculales	21	1	11	35	14	5	27	15	28	13	5	10
Prochlorales	20	1	9	33	11	3	27	2	58	14	1	4
Micromonosporales	11	3	11	15	8	16	36	20	15	12	10	23
Selenomonadales	6	2	13	12	12	19	12	23	21	14	17	27
Puniceicoccales	13	22	37	11	16	7	17	23	14	0	8	8
Coriobacteriales	9	3	14	14	8	12	18	24	13	10	17	28
Thermoplasmatales	8	1	1	0	8	39	0	9	10	0	41	52
Vibrionales	16	11	21	11	7	3	28	24	19	10	7	10
Armatimonadetes unclassified	13	1	4	15	4	6	3	24	9	6	32	47
Cellvibrionales	16	3	17	19	17	2	23	10	14	15	2	25
Caldilineales	6	0	0	13	14	18	16	16	21	12	16	26
Chlorobiales	3	0	31	1	8	1	39	27	8	2	18	17
Archaea unclassified	5	0	3	2	4	29	4	16	24	25	6	36
Halobacteria unclassified	30	3	4	11	11	13	9	6	12	13	9	20
Thiotrichales	3	1	14	17	21	1	29	11	36	1	0	6
Candidatus Rokubacteria unclassified	10	0	8	10	5	20	16	13	12	9	17	19
Dehalococcoidia unclassified	4	0	1	2	2	23	9	7	9	3	47	27
Campylobacterales	8	10	14	7	18	8	14	17	12	7	7	11
Microgenomates group unclassified	7	1	6	16	9	16	14	11	4	16	11	10
Sphaerobacterales	0	0	2	10	8	18	8	15	14	11	11	20
Stigonematales	11	3	14	18	4	1	14	11	25	9	3	2
Nitrospirales	5	2	2	11	2	8	22	9	14	16	13	9
Haloferacales	17	2	2	7	9	8	6	9	9	11	12	18
Limnochordales	0	0	6	0	16	9	13	12	9	13	16	14
Euryarchaeota unclassified	2	5	4	0	4	19	3	16	7	8	16	16
Thermoanaerobacterales	5	7	4	5	5	12	4	12	12	4	10	12
Bifidobacteriales	2	1	12	10	4	14	5	12	11	2	12	7
Halobacteriales	17	1	4	3	4	4	9	13	9	5	8	13
Gloeobacterales	8	0	0	26	9	6	10	0	17	13	0	0
Kosmotogales	0	0	7	0	1	0	0	68	0	2	6	4
Nitrospinales	16	0	0	10	0	0	8	15	1	17	1	19
Ardenticatenales	0	0	0	8	9	5	12	0	21	0	14	14
Legionellales	12	2	6	19	5	7	8	4	6	5	4	3
PVC group unclassified	6	2	7	6	6	7	3	7	12	3	8	13
Cloacimonetes unclassified	2	2	9	4	8	2	8	11	9	2	11	10
Bacilli unclassified	10	6	7	10	9	3	8	6	4	4	6	2
Eggerthellales	2	1	2	9	4	6	16	3	7	4	7	10
Patescibacteria group unclassified	2	4	7	4	3	5	2	9	6	8	5	14
FCB group unclassified	7	0	1	4	3	2	14	18	3	2	3	10
Nanoarchaeota unclassified	1	1	3	0	4	9	5	14	6	8	6	9
Natrialbales	5	1	7	8	0	3	4	7	4	6	6	15
Leotiomyceta unclassified	0	0	0	23	0	2	19	4	15	2	0	0
Candidatus Moranbacteria unclassified	4	2	6	5	4	5	5	10	8	6	3	6
Methylophilales	5	3	5	10	6	2	9	3	7	4	3	6
Candidate division NC10 unclassified	0	0	0	0	0	17	0	0	7	0	16	22
Rubrobacterales	0	0	8	0	0	0	2	17	0	10	10	9
Chlamydiales	8	2	8	6	6	2	8	2	3	5	1	4
Marinimicrobia unclassified	1	4	3	8	4	2	7	4	6	3	8	5
Omnitrophica unclassified	0	0	1	0	1	17	0	0	4	0	11	19
Nitriliruptorales	0	0	11	9	10	0	11	0	6	0	0	5
Fusobacteriales	7	8	6	3	5	4	3	1	3	4	2	5
Bacteroidetes/Chlorobi group unclassified	2	1	4	15	4	0	9	4	5	2	2	2
Candidatus Uhrbacteria unclassified	1	2	3	2	5	7	5	6	5	7	2	4
Deinococci unclassified	2	0	4	2	7	4	4	4	5	4	6	6
Rickettsiales	6	3	2	2	2	3	7	2	3	4	6	7
Geodermatophilales	4	0	2	1	1	3	3	0	14	5	6	2
Candidatus Peregrinibacteria unclassified	2	5	3	3	1	3	6	1	3	5	1	6
Sulfuricellales	0	0	1	4	2	2	8	0	1	9	0	10
Methanomicrobiales	1	1	1	4	1	2	1	2	4	0	14	4
Thaumarchaeota unclassified	2	0	1	9	0	2	3	4	0	4	4	6
Candidatus Falkowbacteria unclassified	0	0	3	2	3	5	2	2	3	5	1	9
Thermotogales	2	2	6	1	4	2	3	1	2	2	4	5
Candidatus Atribacteria unclassified	1	1	2	0	2	1	1	12	1	0	9	4
Spirochaetia unclassified	1	1	2	1	3	2	3	6	4	3	3	5
Coriobacteriia unclassified	0	2	2	1	3	3	2	4	4	4	3	2
Candidatus Parcubacteria unclassified	1	1	1	0	1	7	2	0	0	0	0	16
Flavobacteriia unclassified	2	3	3	6	3	1	1	2	3	0	3	1
Candidatus Magasanikbacteria unclassified	0	2	0	1	1	1	1	4	1	3	7	7
Pasteurellales	4	3	3	0	2	2	3	5	1	0	0	4
Latescibacteria unclassified	0	0	5	1	0	0	1	3	0	1	11	5
Gallionellales	0	0	0	7	0	1	5	5	0	9	0	0
Chrysiogenales	0	0	0	0	0	4	0	10	0	0	8	4
Candidatus Hydrogenedentes unclassified	1	0	2	1	2	1	2	4	3	5	2	2
Candidate division Zixibacteria unclassified	1	0	0	1	2	1	1	1	0	1	16	1
Bacteroidia unclassified	3	1	1	3	2	3	1	2	5	0	2	1
Salinisphaerales	0	0	1	5	8	0	0	10	0	0	0	0
Ignavibacteriales	0	0	0	0	0	13	0	0	0	11	0	0
Pleurocapsales	0	0	7	2	10	0	1	1	1	0	0	1
Candidatus Nomurabacteria unclassified	2	2	3	2	1	0	1	3	2	3	3	0
Candidatus Woesebacteria unclassified	0	0	2	2	3	2	4	1	2	1	0	4
Candidatus Aminicenantes unclassified	2	1	0	0	1	4	1	3	1	3	2	2
Candidatus Wolfebacteria unclassified	1	0	3	1	1	2	2	3	1	0	4	1
Candidatus Campbellbacteria unclassified	0	5	2	1	4	1	0	3	1	0	1	1
Candidatus Acetothermia unclassified	0	0	0	0	0	0	0	0	0	0	10	8
Dikarya unclassified	0	0	1	3	1	1	3	3	2	0	0	3
Methanobacteriales	0	2	0	1	2	2	2	3	2	1	0	2
Unclassified Archaea unclassified	0	0	0	0	0	0	0	0	0	0	17	0
Aquificales	0	0	3	1	3	1	2	1	0	0	1	4
Candidate division WWE3 unclassified	1	0	1	3	1	3	1	1	1	1	0	2
Tissierellales	0	1	0	3	2	2	3	0	3	0	1	0
Candidatus Beckwithbacteria unclassified	0	1	1	2	0	0	3	1	1	0	3	3
Candidatus Amesbacteria unclassified	0	1	0	0	2	4	1	1	2	1	1	2
Candidatus Kaiserbacteria unclassified	0	0	0	3	1	0	0	6	0	0	2	3
Nitrospirae unclassified	1	0	0	1	1	0	2	2	1	3	1	2
Candidate division CPR2 unclassified	1	0	1	3	0	1	2	0	2	1	3	0
Candidatus Roizmanbacteria unclassified	0	0	1	1	0	2	1	2	1	2	3	1
Thermococcales	1	0	0	0	0	3	1	0	2	1	1	4
Brachyspirales	2	0	0	1	3	1	2	1	1	0	1	1
Kordiimonadales	0	0	1	6	0	0	6	0	0	0	0	0
Epsilonproteobacteria unclassified	0	1	1	0	2	0	2	2	0	2	2	0
Glycomycetales	2	0	1	1	0	1	5	0	1	0	0	1
Jiangellales	2	1	1	0	1	1	1	2	1	0	0	2
Candidatus Daviesbacteria unclassified	0	1	1	0	1	2	0	3	1	1	2	0
Fibrobacteria unclassified	1	0	0	1	1	1	2	0	1	2	1	1
Dehalococcoidales	2	0	0	0	1	1	1	0	1	1	1	3
Candidatus Fervidibacteria unclassified	1	1	1	0	0	1	2	0	1	0	1	3
Candidatus Pacebacteria unclassified	1	0	0	2	1	1	2	2	0	1	1	0
Candidatus Azambacteria unclassified	0	1	1	2	1	3	1	0	0	1	0	1
Fimbriimonadales	0	0	0	0	0	0	0	0	0	11	0	0
Delta/epsilon subdivisions unclassified	0	0	1	0	2	1	0	2	2	0	1	1
Herpetosiphonales	1	0	0	1	1	0	1	1	2	3	0	0
Candidatus Collierbacteria unclassified	0	1	0	2	0	1	1	0	1	1	1	2
Thermomicrobia unclassified	0	0	0	0	2	2	0	0	1	0	4	1
Bdellovibrionales	0	0	1	2	2	0	0	0	2	2	1	0
Methanomicrobia unclassified	0	1	1	0	0	2	0	3	1	0	0	1
Nautiliales	1	1	1	0	1	0	0	0	1	0	2	2
Candidatus Gottesmanbacteria unclassified	0	0	0	2	2	1	0	1	1	0	1	1
Candidatus Shapirobacteria unclassified	0	0	0	1	0	2	2	1	1	0	1	1
Candidatus Peribacteria unclassified	1	0	1	0	1	2	2	0	0	0	0	1
Candidatus Adlerbacteria unclassified	0	1	1	1	1	0	0	1	1	1	1	0
Methanococcales	0	0	1	0	1	0	0	2	1	0	2	1
Candidatus Jorgensenbacteria unclassified	0	0	1	1	0	0	1	2	0	0	2	1
Nitrosopumilales	0	0	0	0	0	2	2	1	0	3	0	0
Blastocatellia unclassified	0	0	0	0	0	0	0	0	0	0	0	8
Acidimicrobiia unclassified	1	0	1	0	1	1	0	1	0	0	1	1
Candidatus Poribacteria unclassified	2	0	0	0	1	0	0	1	1	1	0	1
Opitutae unclassified	2	1	2	0	1	1	0	0	0	0	0	0
Pelagibacterales	0	0	1	1	0	0	2	0	2	1	0	0
Caudovirales	0	0	0	2	2	0	0	1	0	1	0	1
DsDNA viruses, no RNA stage unclassified	0	0	0	1	4	0	0	0	0	0	0	2
Candidatus Brocadiales	0	0	0	1	0	1	0	0	2	0	2	1
Zetaproteobacteria unclassified	0	0	0	0	1	0	1	2	1	1	0	1
Chlamydiae unclassified	1	0	2	0	0	1	1	1	0	0	0	0
Saccharomyceta unclassified	1	0	0	1	2	1	0	0	1	0	0	0
Mollicutes unclassified	0	4	0	0	1	0	0	1	0	0	0	0
Acholeplasmatales	0	1	0	1	0	0	1	2	0	0	0	1
Botryosphaeriales	0	0	0	2	0	1	1	0	0	0	2	0
Viruses unclassified	0	0	0	1	0	1	0	0	0	0	0	3
Planctomycetia unclassified	1	0	0	0	0	0	2	0	2	0	0	0
Spirochaetes unclassified	1	0	1	1	0	1	0	0	0	0	0	1
Mycoplasmatales	0	1	0	1	0	0	1	0	1	1	0	0
Tissierellia unclassified	0	1	0	0	0	0	0	1	0	1	2	0
Thermoproteales	0	0	1	0	1	1	0	0	0	0	0	2
Candidatus Saccharibacteria unclassified	0	0	0	0	3	0	0	0	0	1	1	0
Candidatus Berkelbacteria unclassified	0	0	0	0	0	0	0	3	0	0	1	1
Crenarchaeota unclassified	1	0	0	0	1	1	1	0	0	0	0	0
Elusimicrobia unclassified	1	0	0	0	0	1	0	0	0	0	1	1
Methylacidiphilales	1	0	0	1	0	0	0	1	0	0	0	1
Sordariomycetes unclassified	0	0	0	0	0	1	1	0	1	0	1	0
Nitrososphaerales	0	0	1	0	0	0	0	0	2	0	0	1
Candidate division CPR3 unclassified	0	0	1	0	0	2	0	1	0	0	0	0
Candidatus Giovannonibacteria unclassified	0	0	2	0	0	0	0	0	1	0	0	1
Candidatus Levybacteria unclassified	0	0	0	0	0	1	0	0	0	1	0	2
Petrotogales	0	0	0	0	0	0	2	2	0	0	0	0
Dictyosteliida	2	0	0	0	0	0	0	0	0	0	1	0
SsRNA positive-strand viruses, no DNA stage unclassified	0	0	0	0	0	1	0	0	0	2	0	0
Nidovirales	1	0	0	1	0	0	0	0	0	1	0	0
Pleosporales	1	0	0	1	0	0	1	0	0	0	0	0
Desulfurococcales	0	0	1	0	0	0	0	0	0	0	0	2
Entomoplasmatales	0	0	2	0	0	0	0	1	0	0	0	0
Basidiomycota unclassified	0	0	0	0	0	0	0	0	1	0	1	1
Candidatus Curtissbacteria unclassified	0	0	0	1	1	0	0	0	1	0	0	0
Picornavirales	0	0	0	0	1	1	0	0	1	0	0	0
Kinetoplastida	0	0	0	0	0	0	2	0	0	0	1	0
Fungi unclassified	0	0	0	1	0	0	0	0	0	0	0	1
Ascomycota unclassified	0	1	0	1	0	0	0	0	0	0	0	0
Chloroflexia unclassified	0	0	0	1	1	0	0	0	0	0	0	0
Synergistetes unclassified	0	0	0	0	0	1	0	1	0	0	0	0
TACK group unclassified	1	0	0	0	0	0	0	0	0	0	1	0
Apicomplexa unclassified	0	0	0	1	0	0	1	0	0	0	0	0
Haemosporida	0	0	1	0	0	0	0	0	0	1	0	0
Eucoccidiorida	0	0	1	0	1	0	0	0	0	0	0	0
Thermoprotei unclassified	0	0	0	0	0	0	0	0	0	0	1	1
Thermodesulfobacteriales	0	0	1	0	0	0	0	0	0	0	0	1
Ophiostomatales	0	0	0	1	0	0	0	0	0	1	0	0
Hypocreomycetidae unclassified	0	0	0	0	0	0	1	1	0	0	0	0
Candidatus Bathyarchaeota unclassified	0	0	0	0	1	0	0	0	0	0	1	0
Methanomassiliicoccales	0	0	0	0	0	1	0	0	0	0	0	1
Candidatus Diapherotrites unclassified	0	0	0	0	0	0	0	1	0	0	1	0
Sulfolobales	0	0	0	0	0	0	0	0	2	0	0	0
Dictyoglomales	0	0	0	0	0	0	0	0	1	0	1	0
Fibrobacteres unclassified	0	1	0	0	0	0	0	0	0	0	0	0
Thermoplasmata unclassified	0	0	0	0	0	0	0	0	0	1	0	0
Diaporthales	0	0	1	0	0	0	0	0	0	0	0	0
Eurotiomycetes unclassified	0	0	0	1	0	0	0	0	0	0	0	0
Sordariomyceta unclassified	0	0	0	0	0	0	1	0	0	0	0	0
Ustilaginales	0	0	0	1	0	0	0	0	0	0	0	0
Capnodiales	0	0	0	1	0	0	0	0	0	0	0	0
Saccharomycetales	0	0	0	0	1	0	0	0	0	0	0	0
Agaricales	0	0	0	0	1	0	0	0	0	0	0	0
Agaricomycetes unclassified	0	0	0	0	0	0	0	0	0	0	0	1
Candidatus Calescamantes unclassified	0	0	0	0	1	0	0	0	0	0	0	0
Ktedonobacteria unclassified	0	0	0	0	0	0	1	0	0	0	0	0
Actinopolysporales	0	0	0	0	0	0	1	0	0	0	0	0
Mucorales	0	0	0	0	0	0	0	0	1	0	0	0
Polyporales	0	0	0	0	0	0	0	0	1	0	0	0
Lentisphaerae unclassified	0	0	0	0	0	0	0	0	1	0	0	0
Desulfurellales	0	0	0	0	0	0	0	0	0	1	0	0
Methanocellales	0	0	0	0	0	0	0	0	0	1	0	0
Kineosporiales	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus Yanofskybacteria unclassified	0	0	0	0	0	0	0	0	0	1	0	0
Archaeoglobales	0	0	0	0	0	0	0	0	0	0	0	1
Candidatus Microgenomates unclassified	0	0	0	0	0	0	0	0	0	0	0	1
Leotiomycetes unclassified	0	0	0	0	0	0	0	0	0	0	0	1
Catenulisporales	0	0	0	0	0	0	0	0	0	0	0	1
Erysipelotrichales	0	0	0	0	0	0	0	0	0	0	0	1
Herpesvirales	0	0	0	0	0	0	0	0	0	0	0	1
Kiloniellales	0	0	0	0	0	0	0	0	0	0	0	1
Desulfurobacteriales	0	0	0	0	0	0	0	0	0	0	0	1
