	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Patescibacteria group unclassified	2	4	7	4	3	5	2	9	6	8	5	14
FCB group unclassified	7	0	1	4	3	2	14	18	3	2	3	10
Nanoarchaeota	1	1	3	0	4	9	5	14	6	8	6	9
Candidatus Moranbacteria	4	2	6	5	4	5	5	10	8	6	3	6
Candidate division NC10	0	0	0	0	0	17	0	0	7	0	16	22
Chlamydiae	9	2	10	6	6	3	9	3	3	5	1	4
Marinimicrobia	1	4	3	8	4	2	7	4	6	3	8	5
Omnitrophica	0	0	1	0	1	17	0	0	4	0	11	19
Fusobacteria	7	8	6	3	5	4	3	1	3	4	2	5
Bacteroidetes/Chlorobi group unclassified	2	1	4	15	4	0	9	4	5	2	2	2
Candidatus Uhrbacteria	1	2	3	2	5	7	5	6	5	7	2	4
Thaumarchaeota	2	0	2	9	0	4	5	5	2	7	4	7
Candidatus Peregrinibacteria	3	5	4	3	2	5	8	1	3	5	1	7
Candidatus Falkowbacteria	0	0	3	2	3	5	2	2	3	5	1	9
Candidatus Atribacteria	1	1	2	0	2	1	1	12	1	0	9	4
Candidatus Parcubacteria	1	1	1	0	1	7	2	0	0	0	0	16
Candidatus Magasanikbacteria	0	2	0	1	1	1	1	4	1	3	7	7
Latescibacteria	0	0	5	1	0	0	1	3	0	1	11	5
Chrysiogenetes	0	0	0	0	0	4	0	10	0	0	8	4
Candidatus Hydrogenedentes	1	0	2	1	2	1	2	4	3	5	2	2
Candidate division Zixibacteria	1	0	0	1	2	1	1	1	0	1	16	1
Ignavibacteriae	0	0	0	0	0	13	0	0	0	11	0	0
Candidatus Nomurabacteria	2	2	3	2	1	0	1	3	2	3	3	0
Candidatus Woesebacteria	0	0	2	2	3	2	4	1	2	1	0	4
Candidatus Aminicenantes	2	1	0	0	1	4	1	3	1	3	2	2
Tenericutes	0	6	2	2	1	0	2	4	1	1	0	1
Candidatus Wolfebacteria	1	0	3	1	1	2	2	3	1	0	4	1
Candidatus Campbellbacteria	0	5	2	1	4	1	0	3	1	0	1	1
Candidatus Acetothermia	0	0	0	0	0	0	0	0	0	0	10	8
Dikarya unclassified	0	0	1	3	1	1	3	3	2	0	0	3
Aquificae	0	0	3	1	3	1	2	1	0	0	1	5
Unclassified Archaea unclassified	0	0	0	0	0	0	0	0	0	0	17	0
Crenarchaeota	1	0	2	0	2	2	1	0	2	0	1	5
Candidate division WWE3	1	0	1	3	1	3	1	1	1	1	0	2
Candidatus Beckwithbacteria	0	1	1	2	0	0	3	1	1	0	3	3
Candidatus Amesbacteria	0	1	0	0	2	4	1	1	2	1	1	2
Candidatus Kaiserbacteria	0	0	0	3	1	0	0	6	0	0	2	3
Candidate division CPR2	1	0	1	3	0	1	2	0	2	1	3	0
Candidatus Roizmanbacteria	0	0	1	1	0	2	1	2	1	2	3	1
Fibrobacteres	1	1	0	1	1	1	2	0	1	2	1	1
Candidatus Daviesbacteria	0	1	1	0	1	2	0	3	1	1	2	0
Candidatus Fervidibacteria	1	1	1	0	0	1	2	0	1	0	1	3
Candidatus Pacebacteria	1	0	0	2	1	1	2	2	0	1	1	0
Candidatus Azambacteria	0	1	1	2	1	3	1	0	0	1	0	1
Candidatus Collierbacteria	0	1	0	2	0	1	1	0	1	1	1	2
Candidatus Gottesmanbacteria	0	0	0	2	2	1	0	1	1	0	1	1
Candidatus Shapirobacteria	0	0	0	1	0	2	2	1	1	0	1	1
Candidatus Adlerbacteria	0	1	1	1	1	0	0	1	1	1	1	0
Candidatus Jorgensenbacteria	0	0	1	1	0	0	1	2	0	0	2	1
Candidatus Poribacteria	2	0	0	0	1	0	0	1	1	1	0	1
Basidiomycota	0	0	0	1	1	0	0	0	2	0	1	2
Apicomplexa	0	0	2	1	1	0	1	0	0	1	0	0
Candidatus Saccharibacteria	0	0	0	0	3	0	0	0	0	1	1	0
Candidatus Berkelbacteria	0	0	0	0	0	0	0	3	0	0	1	1
Elusimicrobia	1	0	0	0	0	1	0	0	0	0	1	1
Candidate division CPR3	0	0	1	0	0	2	0	1	0	0	0	0
Candidatus Giovannonibacteria	0	0	2	0	0	0	0	0	1	0	0	1
Candidatus Levybacteria	0	0	0	0	0	1	0	0	0	1	0	2
Fungi unclassified	0	0	0	1	0	0	0	0	1	0	0	1
Candidatus Curtissbacteria	0	0	0	1	1	0	0	0	1	0	0	0
TACK group unclassified	1	0	0	0	0	0	0	0	0	0	1	0
Thermodesulfobacteria	0	0	1	0	0	0	0	0	0	0	0	1
Candidatus Bathyarchaeota	0	0	0	0	1	0	0	0	0	0	1	0
Candidatus Diapherotrites	0	0	0	0	0	0	0	1	0	0	1	0
Dictyoglomi	0	0	0	0	0	0	0	0	1	0	1	0
Candidatus Calescamantes	0	0	0	0	1	0	0	0	0	0	0	0
Lentisphaerae	0	0	0	0	0	0	0	0	1	0	0	0
Candidatus Yanofskybacteria	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus Microgenomates	0	0	0	0	0	0	0	0	0	0	0	1
